Reference	ID	Tags	SupportReference	Quote	GLQuote	Occurrence	Note
2:19	reb7		rc://*/ta/man/translate/figs-metaphor	συμβάλλουσα ἐν τῇ καρδίᾳ αὐτῆς	pondering them in her heart	1	In this expression, the **heart** represents the thoughts and emotions. Alternate translation: “reflecting on what they meant”
2:20	nqv7		rc://*/ta/man/translate/figs-explicit	ὑπέστρεψαν οἱ ποιμένες	the shepherds returned	1	This means that they **returned** to their flock. If it would be helpful to your readers, you could state that explicitly. Alternate translation: “the shepherds went back to take care of their sheep”
2:20	c9x5		rc://*/ta/man/translate/figs-doublet	δοξάζοντες καὶ αἰνοῦντες τὸν Θεὸν	glorifying and praising God	1	The terms **glorifying** and **praising** mean similar things. Luke is using them together for emphasis. If it would be helpful in your language, you could combine these terms. Alternate translation: “excitedly praising God”
2:20	l123		rc://*/ta/man/translate/figs-activepassive	καθὼς ἐλαλήθη πρὸς αὐτούς	just as it had been spoken to them	1	If it would be helpful in your language, you could express this with an active form, and you could state who did the action. Alternate translation: “just as the angel had told them”
2:21	b2k2		rc://*/ta/man/translate/figs-explicit	ὅτε ἐπλήσθησαν ἡμέραι ὀκτὼ τοῦ περιτεμεῖν αὐτόν	when eight days had been fulfilled to circumcise him	1	The law that God gave to Jewish believers told them to circumcise a baby boy on the eighth day of his life. As in [1:59](../01/59.md), the day on which the baby was born was considered to be the first day. If it would be helpful to your readers, you could translate this expression according to the way your own culture reckons time. Alternate translation: “when the baby was one week old, and according to the Jewish law it was time to circumcise him”
2:21	ud24		rc://*/ta/man/translate/writing-newevent	ὅτε ἐπλήσθησαν ἡμέραι ὀκτὼ	when eight days had been fulfilled	1	This time reference also introduces a new event. Alternate translation: “after eight days had gone by” or “when the baby was one week old”
2:21	l124		rc://*/ta/man/translate/figs-activepassive	ἐπλήσθησαν ἡμέραι ὀκτὼ	eight days had been fulfilled	1	If it would be helpful in your language, you could express this with an active form. Alternate translation: “after eight days had gone by” or “when the baby was one week old”
2:21	u6sw		rc://*/ta/man/translate/figs-activepassive	ἐκλήθη τὸ ὄνομα αὐτοῦ Ἰησοῦς	his name was called Jesus	1	If it would be helpful in your language, you could express this with an active form, and you could state who did the action. Alternate translation: “his parents Joseph and Mary named him Jesus”
2:21	l125		rc://*/ta/man/translate/figs-idiom	ἐκλήθη τὸ ὄνομα αὐτοῦ Ἰησοῦς	his name was called Jesus	1	As in 1:13, to “call a name” is an idiom that means to give a child a name. Alternate translation: “his parents Joseph and Mary named him Jesus”
2:21	km8b		rc://*/ta/man/translate/figs-activepassive	τὸ κληθὲν ὑπὸ τοῦ ἀγγέλου	which} he had been called by the angel	1	If it would be helpful in your language, you could express this with an active form. Alternate translation: “which was the name that the angel had told Mary to give him”
2:21	l126		rc://*/ta/man/translate/figs-explicitinfo	πρὸ τοῦ συνλημφθῆναι αὐτὸν ἐν τῇ κοιλίᾳ	before he was conceived in the womb	1	In your language, it might seem that the phrase **conceived in the womb** expresses unnecessary extra information. If so, you could abbreviate it. Alternate translation: “before he was conceived”
2:22	q9yb		rc://*/ta/man/translate/figs-activepassive	ὅτε ἐπλήσθησαν αἱ ἡμέραι τοῦ καθαρισμοῦ αὐτῶν κατὰ τὸν νόμον Μωϋσέως	when the days of their purification had been fulfilled, according to the law of Moses	1	If it would be helpful in your language, you could express this with an active form, and you could state who did the action. Alternate translation: “after they had waited the number of days that the law of Moses required for their purification”
2:22	b65l		rc://*/ta/man/translate/figs-explicit	αἱ ἡμέραι τοῦ καθαρισμοῦ αὐτῶν	the days of their purification	1	The law of Moses said that a woman would become ceremonially clean again 33 days after her newborn son had been circumcised. After that, she could enter the temple. If it would be helpful to your readers, you could state that explicitly. Alternate translation: “33 more days, the time that the law of Moses required for Mary to become ceremonially clean again after childbirth”
2:22	l128		rc://*/ta/man/translate/figs-idiom	ἀνήγαγον αὐτὸν εἰς Ἱεροσόλυμα	they brought him up to Jerusalem	1	Luke says that they brought him **up** to Jerusalem, even though Bethlehem is actually at a higher elevation, because that was the customary way of speaking about going to Jerusalem, since that city is up on a mountain. Alternate translation: “they took him to Jerusalem”
2:22	lr25		rc://*/ta/man/translate/figs-explicit	παραστῆσαι τῷ Κυρίῳ	to present {him} to the Lord	1	Luke will explain more in the next two verses about why Mary and Joseph did this, but if it would be helpful to your readers, you could make the purpose more explicit here. Alternate translation: “so that they could bring him into the temple and perform the required ceremony acknowledging God’s claim on firstborn children who were male”
2:23	vlb3		rc://*/ta/man/translate/figs-activepassive	καθὼς γέγραπται ἐν νόμῳ Κυρίου	just as it is written in the law of the Lord	1	If it would be helpful in your language, you could express this with an active form. Alternate translation: “just as the law of the Lord commands”
2:23	l129		rc://*/ta/man/translate/figs-activepassive	πᾶν ἄρσεν διανοῖγον μήτραν, ἅγιον τῷ Κυρίῳ κληθήσεται	Every male who opens the womb will be called holy to the Lord	1	If it would be helpful in your language, you could express this with an active form. Alternate translation: “You are to set apart for the Lord every firstborn child who is a boy”
2:23	lnn1		rc://*/ta/man/translate/figs-idiom	πᾶν ἄρσεν διανοῖγον μήτραν	Every male who opens the womb	1	The phrase **opens the womb** is an idiom that refers to being the first baby to come out of the womb. This commandment applied to both people and animals, but here a baby boy is specifically in view. Alternate translation: “Every firstborn offspring who is a male” or “Every firstborn child who is a boy”
2:23	l130		rc://*/ta/man/translate/figs-idiom	ἅγιον τῷ Κυρίῳ κληθήσεται	will be called holy to the Lord	1	As in [1:32](../01/32.md), **be called** is an idiom that means “to be.” Alternate translation: “will be set apart for the Lord”
2:23	l131		rc://*/ta/man/translate/figs-declarative	ἅγιον τῷ Κυρίῳ κληθήσεται	will be called holy to the Lord	1	Here, the law of Moses is using a future statement to give a command. Alternate translation: “is to be set apart for the Lord”
2:24	ni3s		rc://*/ta/man/translate/figs-activepassive	τὸ εἰρημένον ἐν τῷ νόμῳ Κυρίου	what} had been said in the law of the Lord	1	If it would be helpful in your language, you could express this with an active form. Alternate translation: “what the law of the Lord says”
2:25	l132		rc://*/ta/man/translate/figs-metaphor	ἰδοὺ	behold	1	Luke uses the term **behold** to call the reader’s attention to what he is about to say. Your language may have a similar expression that you can use here.
2:25	ytp9		rc://*/ta/man/translate/writing-participants	ἄνθρωπος ἦν ἐν Ἰερουσαλὴμ, ᾧ ὄνομα Συμεών	there was a man in Jerusalem whose name {was} Simeon	1	Luke uses this phrase to introduce a new character into the story. If your language has its own way of doing that, you could use it here in your translation.
2:25	l133		rc://*/ta/man/translate/translate-names	Συμεών	was} Simeon	1	**Simeon** is the name of a man.
2:25	n263		rc://*/ta/man/translate/figs-doublet	ὁ ἄνθρωπος οὗτος δίκαιος καὶ εὐλαβής	this man {was} righteous and devout	1	The terms **righteous** and **devout** mean similar things. Luke uses the two terms together to emphasize what a godly man Simeon was. If it would be helpful in your language, you could combine them. Alternate translation: “he was a godly man”
2:25	l134		rc://*/ta/man/translate/figs-idiom	προσδεχόμενος	waiting for	1	This is an idiomatic usage of the term **waiting**. It does not mean passively **waiting** for something to happen, but eagerly anticipating something that someone wants to happen. Alternate translation: “eagerly anticipating” or “looking forward to”
2:25	l135		rc://*/ta/man/translate/figs-metonymy	παράκλησιν τοῦ Ἰσραήλ	the consolation of Israel	1	This phrase refers by association to the one who would bring **consolation**, meaning “comfort,” to the people of Israel. Alternate translation: “the one who would come and comfort the people of Israel” or “the one who would come to help the people of Israel”
2:25	l136		rc://*/ta/man/translate/figs-explicit	παράκλησιν τοῦ Ἰσραήλ	the consolation of Israel	1	Luke assumes that readers will know that this is a reference to the Messiah. If it would be helpful to your readers, you could state that explicitly. Alternate translation: “the Messiah, who would come to help the people of Israel”
2:25	m5au		rc://*/ta/man/translate/figs-personification	τοῦ Ἰσραήλ	of Israel	1	Luke is referring to all of the Israelites as if they were a single person, their ancestor, **Israel**. Alternate translation: “of the people of Israel”
2:25	xxw9		rc://*/ta/man/translate/figs-metaphor	Πνεῦμα ἦν Ἅγιον ἐπ’ αὐτόν	the Holy Spirit was upon him	1	The word **upon** creates a spatial metaphor that means that the Spirit of God was with Simeon in a special way. The Spirit gave him knowledge and direction for his life, as the next two verses show. Alternate translation: “the Holy Spirit guided him in special ways”
2:26	l137		rc://*/ta/man/translate/grammar-connect-time-background	καὶ	And	1	Luke uses the word **And** to introduce background information that will help readers understand what happens next. Alternate translation: “Now”
2:26	psf8		rc://*/ta/man/translate/figs-activepassive	ἦν αὐτῷ κεχρηματισμένον ὑπὸ τοῦ Πνεύματος τοῦ Ἁγίου	it had been revealed to him by the Holy Spirit	1	If it would be helpful in your language, you could express this with an active form. Alternate translation: “the Holy Spirit had shown him” or “the Holy Spirit had told him”
2:26	l138		rc://*/ta/man/translate/figs-idiom	μὴ ἰδεῖν θάνατον πρὶν	that he would not see death before	1	To **see death** is an idiom that means “to die.” Alternate translation: “that he would not die before”
2:26	e6vu		rc://*/ta/man/translate/figs-litotes	μὴ ἰδεῖν θάνατον πρὶν	that he would not see death before	1	Here, Luke is using a figure of speech that expresses a positive meaning by using a negative word together with a word that is the opposite of the intended meaning. Alternate translation: “he would live until”
2:27	k53l		rc://*/ta/man/translate/figs-idiom	ἦλθεν ἐν τῷ Πνεύματι	he came in the Spirit	1	This is an idiom. Alternate translation: “he came as the Holy Spirit directed him”
2:27	uqr6		rc://*/ta/man/translate/figs-go	ἦλθεν & εἰς τὸ ἱερόν	he came & into the temple	1	Your language may say “went” in contexts such as this. Alternate translation: “he went … into the temple”
2:27	y8la		rc://*/ta/man/translate/figs-synecdoche	εἰς τὸ ἱερόν	into the temple	1	Since only priests could enter the **temple** building, this means the **temple** courtyard. Luke is using the word for the entire building to refer to one part of it. Alternate translation: “into the temple courtyard”
2:27	wt3r		rc://*/ta/man/translate/writing-participants	τοὺς γονεῖς	the parents	1	This means the **parents** of Jesus. If it would be helpful in your language, you could use their names here. Alternate translation: “Mary and Joseph”
2:27	h444		rc://*/ta/man/translate/figs-explicit	τοῦ ποιῆσαι αὐτοὺς κατὰ τὸ εἰθισμένον τοῦ νόμου περὶ αὐτοῦ	for them to do according to the custom of the law concerning him	1	The phrase **to do according to the custom of the law** refers to the ceremony of dedication that Luke described in [2:22–25](../02/22.md). If it would be helpful to your readers, you could state that explicitly. Alternate translation: “to perform the ceremony of dedication that the law of God required”
2:28	l139		rc://*/ta/man/translate/grammar-connect-time-sequential	καὶ	and	1	Luke uses the word **and** to indicate that this event took place after the event he has just described. That is, Simeon took Jesus in his arms after his parents brought him into the temple for the dedication ceremony. Alternate translation: “then”
2:28	y5g6		rc://*/ta/man/translate/writing-pronouns	αὐτὸς ἐδέξατο αὐτὸ εἰς τὰς ἀγκάλας	he took him into his arms	1	If it would be helpful in your language, you could specify by name the people to whom these pronouns refer. Alternate translation: “Simeon picked up the baby Jesus and held him in his arms”
2:29	l140		rc://*/ta/man/translate/figs-declarative	νῦν ἀπολύεις τὸν δοῦλόν σου & ἐν εἰρήνῃ	You are now dismissing your servant in peace	1	Simeon is actually using this statement to make a request. Alternate translation: “Now please let me die in peace”
2:29	m6eg		rc://*/ta/man/translate/figs-123person	νῦν ἀπολύεις τὸν δοῦλόν σου	You are now dismissing your servant	1	Simeon refers to himself as God’s **servant** in order to show humility and respect. Alternate translation: “Now please let me die”
2:29	g3wn		rc://*/ta/man/translate/figs-euphemism	νῦν ἀπολύεις τὸν δοῦλόν σου	You are now dismissing your servant	1	Simeon uses a mild expression to refer to death. Alternate translation: “Now please let me die”
2:29	l141		rc://*/ta/man/translate/figs-youformal	σου & σου	your & your	1	Here, the word **your** is singular because Simeon is addressing God. If your language has a formal form of **your** that it uses to address a superior respectfully, you may wish to use that form here and in [2:30](../02/30.md) and [2:32](../02/32.md), and the corresponding formal form for “you” in [2:31](../02/31.md). However, it might be more natural in your language for someone who knows God well, as Simeon did, to address God using the informal form. Use your best judgment about what form to use.
2:29	e8fk		rc://*/ta/man/translate/figs-metonymy	κατὰ τὸ ῥῆμά σου	according to your word	1	Simeon is referring to the promise that God made that he would live to see the Messiah. Simeon describes that promise by association with the **word** or saying by which God made it. Alternate translation: “as you promised”
2:30	b7i6		rc://*/ta/man/translate/figs-synecdoche	εἶδον οἱ ὀφθαλμοί μου	my eyes have seen	1	Simeon uses one part of himself, his **eyes**, to represent all of himself in the act of seeing. Alternate translation: “I have personally seen” or “I, myself, have seen”
2:30	ekw3		rc://*/ta/man/translate/figs-metonymy	τὸ σωτήριόν σου	your salvation	1	This expression refers by association to the person who would bring **salvation**, that is, the infant Jesus, whom Simeon was holding. Alternate translation: “the Savior whom you have sent”
2:31	zv1j		rc://*/ta/man/translate/writing-pronouns	ὃ ἡτοίμασας	which you have prepared	1	If you said “Savior” in the previous phrase at the end of [2:30](../02/30.md), then here you will want to say something like “whom you have prepared” or “the one you have sent.” If you said **salvation** in the previous phrase, then here you could state something like “which you have brought about”
2:31	l142		rc://*/ta/man/translate/figs-metaphor	κατὰ πρόσωπον πάντων τῶν λαῶν	before the face of all the peoples	1	The term **face** represents the presence of a person. Simeon is saying that God has sent the Savior or brought about salvation right where everyone is present. Alternate translation: “in the presence of all the peoples”
2:31	l143		rc://*/ta/man/translate/figs-explicit	κατὰ πρόσωπον πάντων τῶν λαῶν	before the face of all the peoples	1	The implication of God sending the Savior or bringing about salvation into the presence of everyone is that this has been done for their benefit. Alternate translation: “for the benefit of all peoples”
2:32	n4k3		rc://*/ta/man/translate/figs-metaphor	φῶς εἰς ἀποκάλυψιν ἐθνῶν καὶ δόξαν λαοῦ σου, Ἰσραήλ	A light for revelation to the Gentiles and glory to your people Israel	1	This expression means that the child will help the Gentiles to understand. Simeon compares Jesus’ role to that of a physical **light** that enables people to see solid objects. Alternate translation: “This child will enable the Gentiles to understand, just as light allows people to see things clearly and he will bring honor to the people of Israel, who belong to you”
2:32	s5lu		rc://*/ta/man/translate/figs-explicit	φῶς εἰς ἀποκάλυψιν ἐθνῶν καὶ δόξαν λαοῦ σου, Ἰσραήλ	A light for revelation to the Gentiles and glory to your people Israel	1	It may be helpful to state explicitly what the child will help the **Gentiles** to understand. Alternate translation: “This child will enable the Gentiles to understand what you expect of them and he will bring honor to the people of Israel, who belong to you”
2:33	l144		rc://*/ta/man/translate/translate-textvariants	ὁ πατὴρ αὐτοῦ καὶ ἡ μήτηρ	his father and mother	1	See the discussion of textual issues at the end of the General Notes to this chapter to decide whether to use this reading in your translation or a different reading, “Joseph and his mother.”
2:33	pp9f		rc://*/ta/man/translate/figs-activepassive	τοῖς λαλουμένοις περὶ αὐτοῦ	what is being said about him	1	If it would be helpful in your language, you could express this with an active form, and you could state who did the action. Alternate translation: “the things that Simeon said about him”
2:34	xly1			εἶπεν πρὸς Μαριὰμ τὴν μητέρα αὐτοῦ	said to Mary, his mother	1	In your translation, make sure that this does not sound as if Mary is the mother of Simeon. Alternate translation: “said to Mary, the child’s mother”
2:34	p2cy		rc://*/ta/man/translate/figs-metaphor	ἰδοὺ	Behold	1	Simeon uses the word **Behold** to tell Mary that what he is about to say is extremely important to her. Alternate translation: “Now this is important”
2:34	rs67		rc://*/ta/man/translate/figs-metonymy	οὗτος κεῖται εἰς πτῶσιν καὶ ἀνάστασιν πολλῶν ἐν τῷ Ἰσραὴλ	this one is appointed for the downfall and rising up of many in Israel	1	The word **downfall** represents people turning away from God by association with the way they will be ruined as a result. The expression **rising up** represents people drawing closer to God, by association with they way they will prosper as a result. Alternate translation: “God will use this child to challenge many people of the people of Israel to decide definitively for or against him”
2:34	l145		rc://*/ta/man/translate/figs-activepassive	οὗτος κεῖται εἰς	this one is appointed for	1	If it would be helpful in your language, you could express this with an active form, and you could state who will do the action. Alternate translation: “God intends to use this child to”
2:34	abc4		rc://*/ta/man/translate/figs-personification	πολλῶν ἐν τῷ Ἰσραὴλ	of many in Israel	1	Simeon refers to all of the Israelites as if they were a single person, their ancestor, **Israel**. Alternate translation: “many of the people of Israel” or “many in the nation of Israel”
2:34	l146		rc://*/ta/man/translate/figs-explicit	σημεῖον	a sign	1	The implication is that the life and ministry of Jesus will be an indication that God is at work to fulfill his purposes through the people of Israel. If it would be helpful to your readers, you could state that explicitly. Alternate translation: “an indication of God’s activity”
2:34	l147		rc://*/ta/man/translate/figs-activepassive	ἀντιλεγόμενον	that is spoken against	1	If it would be helpful in your language, you could express this with an active form, and you could state who will do the action. Alternate translation: “that many people will speak against”
2:34	l148		rc://*/ta/man/translate/figs-metonymy	ἀντιλεγόμενον	that is spoken against	1	Simeon describes the opposition that Jesus will face by association with one expression of it, people speaking against him and his ministry. But this represents a wider range of hostile activities. Alternate translation: “that many people will oppose”
2:35	l149		rc://*/ta/man/translate/figs-metaphor	καὶ σοῦ δὲ αὐτῆς τὴν ψυχὴν διελεύσεται ῥομφαία	and a sword will also pierce your own soul	1	Simeon speaks of the bitter grief pangs that Mary will experience as if they were a **sword** stabbing all the way into her inner being. Alternate translation: “and you will experience deep pangs of grief yourself”
2:35	hak5		rc://*/ta/man/translate/figs-activepassive	ἂν ἀποκαλυφθῶσιν ἐκ πολλῶν καρδιῶν διαλογισμοί	the thoughts of many hearts may be revealed	1	If it would be helpful in your language, you could express this with an active form, and you could state who will do the action. Alternate translation: “so that many people will reveal what they secretly think”
2:35	l150		rc://*/ta/man/translate/figs-metaphor	ἂν ἀποκαλυφθῶσιν ἐκ πολλῶν καρδιῶν διαλογισμοί	the thoughts of many hearts may be revealed	1	In this expression, **hearts** represent people’s inner thoughts and inclinations. Alternate translation: “so that many people will reveal what they secretly think”
2:36	kd1y		rc://*/ta/man/translate/writing-participants	καὶ ἦν Ἅννα προφῆτις	And Anna was there, a prophetess	1	Luke is introducing a new participant into the story. Alternate translation: “There was also a woman named Anna there in the temple. She was a prophetess”
2:36	l151		rc://*/ta/man/translate/translate-names	Ἅννα	Anna	1	**Anna** is the name of a woman.
2:36	c7wx		rc://*/ta/man/translate/translate-names	Φανουήλ	of Phanuel	1	**Phanuel** is the name of a man.
2:36	l152		rc://*/ta/man/translate/figs-idiom	αὕτη προβεβηκυῖα ἐν ἡμέραις πολλαῖς	She had advanced much in days	1	As in [1:7](../01/07.md), to have moved forward or to have **advanced** means to have aged. Alternate translation: “She was very old”
2:36	l153		rc://*/ta/man/translate/figs-idiom	αὕτη προβεβηκυῖα ἐν ἡμέραις πολλαῖς	She had advanced much in days	1	Luke uses the term **days** to mean time in general. Alternate translation: “She was very old”
2:36	b9xe		rc://*/ta/man/translate/figs-idiom	ἀπὸ τῆς παρθενίας αὐτῆς	after her virginity	1	This is an idiom. Alternate translation: “after she married him”
2:37	byk6			αὐτὴ χήρα ἕως ἐτῶν ὀγδοήκοντα τεσσάρων	she {was} a widow for 84 years	1	This could mean: (1) Anna had been a widow for 84 years. Alternate translation: “but then her husband had died and she had not remarried, and 84 years had gone by since” (2) Anna was a widow who was now 84 years old. Alternate translation: “but her husband had died and she had not remarried, and now she was 84 years old”
2:37	l154		rc://*/ta/man/translate/figs-litotes	ἣ οὐκ ἀφίστατο τοῦ ἱεροῦ	who never left the temple	1	Luke is expressing a positive meaning by using a negative word together with a word that is the opposite of the intended meaning. Alternate translation: “who was always in the temple”
2:37	f2lt		rc://*/ta/man/translate/figs-hyperbole	ἣ οὐκ ἀφίστατο τοῦ ἱεροῦ	who never left the temple	1	This is a generalization that means that Anna spent so much time in the temple that it seemed as though she never left it. Alternate translation: “who was always in the temple” or “who was continually in the temple”
2:37	a1cg		rc://*/ta/man/translate/figs-idiom	νηστείαις καὶ δεήσεσιν λατρεύουσα	serving with fastings and prayers	1	The term **serving** is an idiom that means “worshiping.” Alternate translation: “worshiping God by going without food and praying”
2:37	l155		rc://*/ta/man/translate/figs-merism	νύκτα καὶ ἡμέραν	night and day	1	Luke is using the two parts of a day to mean the entire day, that is, all the time. Alternate translation: “all the time”
2:38	c9e4			ἐπιστᾶσα	coming up	1	The implication is that Anna came up to Mary and Joseph. If it would be helpful in your language, you could state that explicitly. Alternate translation: “she approached them” or “she went over to Mary and Joseph”
2:38	l156		rc://*/ta/man/translate/figs-idiom	αὐτῇ τῇ, ὥρᾳ	at that very hour	1	Here, Luke uses the term **hour** to refer to a specific time. Alternate translation: “right at that same time”
2:38	l157		rc://*/ta/man/translate/figs-hyperbole	πᾶσιν τοῖς	to all the ones	1	The term **all** is a generalization that means many. Alternate translation: “to many others”
2:38	l158		rc://*/ta/man/translate/figs-idiom	πᾶσιν τοῖς προσδεχομένοις	to all the ones waiting for	1	See how you translated this phrase in [2:25](../02/25.md). Alternate translation: “all who were eagerly anticipating” or “everyone who was looking forward to”
2:38	q1ak		rc://*/ta/man/translate/figs-metonymy	λύτρωσιν Ἰερουσαλήμ	the redemption of Jerusalem	1	Luke is using the word **redemption** to mean the person who would bring redemption. Alternate translation: “the one who would redeem Jerusalem” or “the person who would bring God’s blessings and favor back to Jerusalem”
2:38	l159		rc://*/ta/man/translate/figs-metonymy	Ἰερουσαλήμ	of Jerusalem	1	Luke is referring to all of the people of Israel by the name of their capital city, **Jerusalem.** Alternate translation: “the people of Israel”
2:39	pk9z			πάντα τὰ κατὰ τὸν νόμον Κυρίου	everything {that was} according to the law of the Lord	1	Alternate translation: “everything that the law of the Lord required them to do”
2:39	g5vg		rc://*/ta/man/translate/figs-explicit	εἰς πόλιν ἑαυτῶν Ναζαρέτ	to their own town of Nazareth	1	This expression means that they lived in **Nazareth**. Alternate translation: “the town of Nazareth, where they lived”
2:40	l160		rc://*/ta/man/translate/figs-activepassive	ἐκραταιοῦτο	was strengthened	1	If it would be helpful in your language, you could express this with an active form. Alternate translation: “became stronger”
2:40	qm1q		rc://*/ta/man/translate/figs-activepassive	πληρούμενον σοφίᾳ	being filled with wisdom	1	If it would be helpful in your language, you could express this with an active form. Alternate translation: “learning what was wise”
2:40	xr2p		rc://*/ta/man/translate/figs-metaphor	χάρις Θεοῦ ἦν ἐπ’ αὐτό	the grace of God was upon him	1	As in [2:25](../02/25.md), **upon** is a spatial metaphor. Alternate translation: “God blessed him in special ways”
2:41	h6fr		rc://*/ta/man/translate/grammar-connect-time-background	καὶ	And	1	Luke uses the word **And** to introduce background information that will help readers understand what happens next. Alternate translation: “Now”
2:41	q3f4		rc://*/ta/man/translate/writing-pronouns	οἱ γονεῖς αὐτοῦ	his parents	1	Alternate translation: “Jesus’ parents”
2:42	l161		rc://*/ta/man/translate/grammar-connect-logic-result	καὶ	And	1	Luke uses the word **And** to introduce the results of what the previous sentence described. Alternate translation: “So”
2:42	f7e7		rc://*/ta/man/translate/figs-idiom	ἀναβαινόντων αὐτῶν	they went up	1	Jerusalem was on top of a mountain, so Israelites customarily spoke of going **up** to Jerusalem. Alternate translation: “they traveled”
2:42	d52y			κατὰ τὸ ἔθος τῆς ἑορτῆς	according to the custom of the feast	1	Alternate translation: “when it was time for the feast”
2:42	g8aa		rc://*/ta/man/translate/figs-explicit	τῆς ἑορτῆς	of the feast	1	Implicitly this means the Feast of Passover. It was called a **feast** because it involved eating a ceremonial meal. Alternate translation: “of the Feast of Passover”
2:43	e5en		rc://*/ta/man/translate/figs-activepassive	τελειωσάντων τὰς ἡμέρας	the days having been completed	1	If it would be helpful in your language, you could express this with an active form, and you could state who did the action. Alternate translation: “after they had celebrated the feast for the required number of days”
2:44	y77i			νομίσαντες δὲ	But thinking that	1	Alternate translation: “But since they thought”
2:44	jcz4			ἦλθον ἡμέρας ὁδὸν	they went a day’s journey	1	Alternate translation: “they traveled as far as people walk in one day”
2:44	l162		rc://*/ta/man/translate/grammar-connect-time-sequential	καὶ ἀνεζήτουν αὐτὸν	and they sought him	1	The word translated **and** at the beginning of this phrase indicates that this event happened after the previous event that the story described. Alternate translation: “then they looked for him”
2:44	l163		rc://*/ta/man/translate/figs-explicit	καὶ ἀνεζήτουν αὐτὸν	and they sought him	1	The implication is that Jesus’ parents looked for him among their friends and relatives once the whole group that was traveling together had stopped for the night. That way they could easily go around among everyone. If it would be helpful to your readers, you could state that explicitly. Alternate translation: “and once the group had stopped for the night, then they looked for him”
2:46	llz4		rc://*/ta/man/translate/writing-newevent	καὶ ἐγένετο	And it happened that	1	Luke uses this phrase to introduce a new event in the story. Use a word, phrase, or other method in your language that is natural for introducing a new event.
2:46	yy11		rc://*/ta/man/translate/figs-synecdoche	ἐν τῷ ἱερῷ	in the temple	1	Since only priests could enter the **temple** building, this implicitly means the **temple** courtyard. Luke is using the word for the entire building to refer to one part of it. Alternate translation: “in the temple courtyard”
2:46	n1tl			ἐν μέσῳ τῶν διδασκάλων	in the midst of the teachers	1	Alternate translation: “among the teachers” or “surrounded by the teachers”
2:46	fzz6			τῶν διδασκάλων	of the teachers	1	Alternate translation: “the religious teachers” or “the experts in the Jewish law” or “those who taught people about God”
2:47	y1i2		rc://*/ta/man/translate/figs-explicit	ἐξίσταντο δὲ πάντες οἱ ἀκούοντες αὐτοῦ	And all the ones hearing him were amazed	1	If it would be helpful to your readers, you could state explicitly why they marveled. Alternate translation: “all those who heard him, unable to understand how a twelve-year-old boy with no formal religious education could answer so well, were amazed”
2:47	pgu4		rc://*/ta/man/translate/figs-hendiadys	ἐπὶ τῇ συνέσει καὶ ταῖς ἀποκρίσεσιν αὐτοῦ	at his understanding and his answers	1	Luke may be expressing a single idea by using two words connected with **and.** The term **understanding** may tell what characterized Jesus’ **answers**. If it would be helpful in your language, you could express the meaning with a single phrase. Alternate translation: “at his wise answers” or “at the understanding with which he answered”
2:48	llk9		rc://*/ta/man/translate/writing-pronouns	καὶ ἰδόντες αὐτὸν	And having seen him	1	Alternate translation: “When Mary and Joseph found Jesus there”
2:48	f1ry		rc://*/ta/man/translate/figs-rquestion	τί ἐποίησας ἡμῖν οὕτως?	why have you treated us thus	1	Mary is using the question form to rebuke Jesus indirectly for not going back home with them, causing them to worry about him. If it would be helpful in your language, you could translate her words as a statement or exclamation. Alternate translation: “you should not have done this to us!”
2:48	w361		rc://*/ta/man/translate/figs-metaphor	ἰδοὺ	Behold	1	Mary uses **Behold** to get Jesus to focus his attention on what she is about to say. Alternate translation: “Listen carefully now”
2:48	l164		rc://*/ta/man/translate/figs-activepassive	ὁ πατήρ σου κἀγὼ, ὀδυνώμενοι ζητοῦμεν σε	your father and I have been tormented searching for you	1	If it would be helpful in your language, you could express the idea behind the passive verbal form **have been tormented** with an adverb. Alternate translation: “your father and I have been searching for you anxiously”
2:49	l165		rc://*/ta/man/translate/grammar-connect-logic-contrast	καὶ	And	1	Luke uses the word **And** to draw a contrast between how readers might have expected Jesus to respond in this situation and how he actually responded. He did not say he was sorry for causing his parents so much worry. Instead, he told them that they should have known where to find him. Alternate translation: “But”
2:49	r8eh		rc://*/ta/man/translate/figs-rquestion	τί ὅτι ἐζητεῖτέ με?	Why {is it} that you were searching for me	1	Jesus is making a statement, not really asking a question. He is using the question form to challenge his parents respectfully. Alternate translation: “You should not have had to search for me”
2:49	va82		rc://*/ta/man/translate/figs-rquestion	οὐκ ᾔδειτε ὅτι ἐν τοῖς τοῦ πατρός μου δεῖ εἶναί με?	Did you not know that I must be in the things of my Father	1	Once again Jesus is making a statement rather than actually asking a question. He is using the question form to challenge his parents respectfully. Alternate translation: “You should have known that I would be involved in my Father’s business”
2:49	p6aj			ἐν τοῖς τοῦ πατρός μου	in the things of my Father	1	This could mean: (1) Jesus is saying that he needed to be involved in the things that God was concerned about. Alternate translation: “involved in my Father’s business” (2) Jesus is referring to the temple as a place that was dedicated to God. Alternate translation: “in my Father’s temple” or “here in the temple”
2:49	n76z		rc://*/ta/man/translate/guidelines-sonofgodprinciples	τοῦ πατρός μου	of my Father	1	At age 12, Jesus, the Son of God, understood that God was his real **Father**.
2:50	l166		rc://*/ta/man/translate/figs-metonymy	τὸ ῥῆμα ὃ ἐλάλησεν αὐτοῖς	the word that he spoke to them	1	The term **word** refers to what Jesus told his parents by using words. Alternate translation: “the answer that he gave them”
